person,day,activity,mood
4,32,6.89,6.22
4,33,6.28,7.01
4,34,4.58,8.05
4,35,7.34,6.22
4,36,5.81,7.55
4,37,5.88,7.32
4,38,5.34,7.58
4,39,5.76,7.44
4,40,6.84,6.38
4,41,6.22,7.18
4,42,6.74,6.08
4,43,6.77,6.43
4,44,7.73,5.24
4,45,6.07,6.7
4,46,4.93,8.32
4,47,7.48,6.17
4,48,6.08,6.88
4,49,7.53,5.53
4,50,6.79,5.75
4,51,6.28,6.77
4,52,6.76,7.12
4,53,8.36,5.35
4,54,8.49,5.0
4,55,6.48,6.86
5,1,0.51,5.35
5,2,1.78,4.12
5,3,2.17,3.68
5,4,1.99,4.12
5,5,2.86,3.33
5,6,2.42,3.28
5,7,2.74,3.37
5,8,1.39,4.54
5,9,2.97,2.98
5,10,3.7,2.66
5,11,1.1,4.33
5,12,1.19,4.96
5,13,3.41,3.16
5,14,1.88,4.01
5,15,3.48,2.89
5,16,1.63,3.67
5,17,3.53,2.47
5,18,2.2,3.74
5,19,2.33,3.44
5,20,3.64,2.85
5,21,1.71,4.71
5,22,1.13,4.38
5,23,1.62,4.07
5,24,2.53,3.62
5,25,0.51,5.57
5,26,2.71,3.1
5,27,1.53,4.41
5,28,3.22,3.46
5,29,0.5,5.42
5,30,1.29,4.23
5,31,0.5,5.16
5,32,1.25,4.45
5,33,2.32,3.92
5,34,1.89,4.12
5,35,1.82,3.68
5,36,1.91,4.18
5,37,2.28,3.61
5,38,1.06,5.04
5,39,2.78,3.2
5,40,2.74,3.23
5,41,2.46,3.75
5,42,2.63,3.66
5,43,2.37,3.79
5,44,4.11,1.87
5,45,1.99,4.12
5,46,1.77,3.91
5,47,1.32,4.58
5,48,1.04,4.39
5,49,0.83,5.03
5,50,1.18,4.43
5,51,2.0,3.65
5,52,2.41,3.83
5,53,2.12,3.94
5,54,1.31,4.38
5,55,2.97,3.56
6,1,2.61,5.17
6,2,3.08,5.3
6,3,3.32,4.62
6,4,2.43,5.33
6,5,3.52,4.32
6,6,2.51,5.37
6,7,2.64,5.22
6,8,4.41,3.96
6,9,2.01,5.44
6,10,0.63,6.56
6,11,4.66,3.33
6,12,5.6,2.89
6,13,2.64,5.43
6,14,1.11,6.17
6,15,2.74,4.88
6,16,2.76,5.04
6,17,2.86,4.83
6,18,1.93,5.86
6,19,3.63,3.71
6,20,3.57,4.11
6,21,1.55,5.73
6,22,3.75,3.6
6,23,5.1,2.85
6,24,3.22,4.37
6,25,2.71,4.95
6,26,2.9,5.13
6,27,3.66,4.18
6,28,1.32,5.86
6,29,3.21,4.59
6,30,2.66,5.31
6,31,4.89,3.01
6,32,2.87,4.65
6,33,4.71,3.54
6,34,1.94,5.56
6,35,3.63,4.43
6,36,3.37,4.48
6,37,2.18,5.61
6,38,3.22,4.33
6,39,4.26,3.76
6,40,2.72,4.94
6,41,1.35,5.78
6,42,3.03,4.36
6,43,2.14,5.63
6,44,2.7,4.92
6,45,2.97,4.54
6,46,1.34,6.08
6,47,1.43,6.31
6,48,3.53,3.78
6,49,2.52,4.78
6,50,0.5,6.56
6,51,3.83,4.47
6,52,3.32,4.59
6,53,2.33,5.5
6,54,1.73,5.5
6,55,3.88,3.79
7,1,5.64,6.07
7,2,5.25,6.34
7,3,5.74,5.88
7,4,5.0,6.25
7,5,5.47,6.11
7,6,5.35,6.06
7,7,5.97,5.44
7,8,6.0,5.85
7,9,3.57,7.76
7,10,2.94,7.72
7,11,6.19,5.54
7,12,6.38,5.67
7,13,4.17,7.45
7,14,3.33,8.11
7,15,5.29,6.3
7,16,6.12,5.41
7,17,6.99,4.66
7,18,5.71,6.04
7,19,4.82,6.76
7,20,4.3,7.41
7,21,5.2,6.64
7,22,4.89,6.58
7,23,4.18,6.87
7,24,7.24,4.65
7,25,6.98,5.0
7,26,6.33,5.41
7,27,4.27,6.96
7,28,6.05,5.75
7,29,5.83,5.73
7,30,5.63,5.86
7,31,6.44,5.45
7,32,5.83,5.76
7,33,5.93,5.84
7,34,5.83,5.93
7,35,5.53,5.81
7,36,3.41,7.68
7,37,5.28,6.66
7,38,4.64,6.53
7,39,3.91,6.87
7,40,6.87,4.56
7,41,6.92,4.99
7,42,6.55,5.29
7,43,5.45,6.14
7,44,6.54,5.59
7,45,5.2,5.69
7,46,5.39,6.31
7,47,4.1,7.64
7,48,5.59,5.77
7,49,5.25,6.23
7,50,3.89,7.22
7,51,5.14,6.19
7,52,5.11,6.35
7,53,6.99,5.29
7,54,6.09,6.11
7,55,5.2,6.28
8,1,6.43,4.09
8,2,4.56,5.16
8,3,6.28,3.74
8,4,4.43,5.55
8,5,4.66,4.87
8,6,4.89,5.16
8,7,7.7,2.84
8,8,5.38,4.64
8,9,3.82,6.32
8,10,5.49,4.42
8,11,4.16,6.16
8,12,4.04,5.69
8,13,5.43,4.31
8,14,4.56,5.35
8,15,4.8,4.86
8,16,4.54,5.16
8,17,4.86,5.18
8,18,4.95,5.15
8,19,2.59,6.75
8,20,5.19,5.07
8,21,3.54,6.43
8,22,3.08,6.87
8,23,4.47,5.53
8,24,4.61,5.63
8,25,3.83,5.44
8,26,5.36,4.61
8,27,3.18,6.21
8,28,4.12,5.71
8,29,3.94,5.68
8,30,4.48,5.35
8,31,4.8,5.6
8,32,3.52,6.12
8,33,5.25,4.88
8,34,4.59,5.25
8,35,2.63,6.89
8,36,2.57,6.92
8,37,4.51,5.48
8,38,4.3,5.82
8,39,4.42,5.85
8,40,4.5,5.45
8,41,4.75,5.32
8,42,5.47,4.31
8,43,3.41,6.22
8,44,3.35,6.53
8,45,3.43,6.45
8,46,4.81,5.18
8,47,5.77,4.58
8,48,4.09,5.82
8,49,2.02,7.66
8,50,2.82,6.79
8,51,3.69,5.93
8,52,3.97,5.88
8,53,4.12,4.95
8,54,4.56,5.42
8,55,4.21,4.69
9,1,3.25,7.54
9,2,5.43,5.88
9,3,5.45,5.6
9,4,3.81,7.19
9,5,4.26,6.74
9,6,6.35,4.67
9,7,4.49,6.82
9,8,7.22,4.15
9,9,4.97,5.66
9,10,5.38,5.49
9,11,6.59,4.52
9,12,5.11,5.98
9,13,3.97,6.81
9,14,4.87,6.08
9,15,4.94,6.26
9,16,3.61,7.25
9,17,4.72,6.36
9,18,4.23,6.77
9,19,5.9,5.49
9,20,5.01,5.52
9,21,4.69,6.21
9,22,4.87,5.61
9,23,5.2,5.9
9,24,5.59,5.58
9,25,3.98,7.13
9,26,3.93,7.2
9,27,6.08,5.24
9,28,4.56,6.28
9,29,3.56,7.33
9,30,5.42,5.59
9,31,5.44,5.7
9,32,3.44,7.54
9,33,5.2,5.75
9,34,5.71,5.69
9,35,5.35,5.94
9,36,5.61,5.33
9,37,3.57,7.44
9,38,5.31,5.98
9,39,4.67,6.34
9,40,4.49,6.27
9,41,5.85,5.16
9,42,6.45,4.75
9,43,6.77,4.77
9,44,6.29,4.78
9,45,4.87,6.27
9,46,5.33,5.48
9,47,5.74,5.41
9,48,5.1,6.0
9,49,5.11,6.58
9,50,5.8,5.07
9,51,4.92,6.49
9,52,4.25,6.69
9,53,4.56,6.51
9,54,5.61,5.6
9,55,4.98,6.18
10,1,3.57,5.17
10,2,5.17,4.14
10,3,3.26,5.3
10,4,4.85,4.21
10,5,3.08,5.29
10,6,3.66,5.18
10,7,2.65,5.88
10,8,4.18,4.47
10,9,5.17,3.81
10,10,3.64,5.04
10,11,3.52,5.11
10,12,2.61,6.36
10,13,3.49,5.18
10,14,2.13,6.24
10,15,2.81,5.23
10,16,3.95,4.62
10,17,5.04,3.9
10,18,6.53,2.6
10,19,3.13,5.84
10,20,5.16,3.83
10,21,3.96,5.15
10,22,3.57,5.16
10,23,4.15,4.69
10,24,3.78,4.95
10,25,3.83,4.94
10,26,3.31,5.78
10,27,2.32,5.56
10,28,2.18,5.76
10,29,4.37,4.36
10,30,3.44,5.25
10,31,3.12,5.67
10,32,3.73,5.13
10,33,4.52,4.29
10,34,3.9,5.13
10,35,3.06,5.81
10,36,4.95,4.09
10,37,5.3,4.0
10,38,4.21,4.7
10,39,4.69,4.1
10,40,4.96,4.2
10,41,4.85,4.15
10,42,4.33,4.53
10,43,4.32,4.91
10,44,4.24,3.99
10,45,2.62,5.55
10,46,4.42,4.17
10,47,2.36,6.02
10,48,2.93,5.6
10,49,5.02,3.6
10,50,4.56,4.1
10,51,5.21,3.62
10,52,3.45,5.85
10,53,2.57,6.4
10,54,3.48,5.11
10,55,3.82,4.85
11,1,5.17,8.19
11,2,4.41,8.85
11,3,6.2,7.09
11,4,5.32,8.08
11,5,6.23,7.35
11,6,4.72,8.29
11,7,5.56,7.47
11,8,6.47,6.73
11,9,6.69,6.87
11,10,6.74,6.89
11,11,5.0,8.0
11,12,7.17,6.47
11,13,5.52,7.93
11,14,6.95,6.79
11,15,6.31,7.54
11,16,4.94,8.56
11,17,6.0,7.15
11,18,6.68,7.27
11,19,6.93,6.52
11,20,6.18,7.52
11,21,7.85,5.93
11,22,7.33,6.23
11,23,6.06,6.9
11,24,7.07,6.5
11,25,8.25,5.21
11,26,8.28,5.82
11,27,5.09,8.5
11,28,5.39,7.68
11,29,7.8,6.03
11,30,5.26,7.81
11,31,5.0,8.04
11,32,5.83,7.73
11,33,6.74,6.8
11,34,6.22,7.66
11,35,5.67,7.54
11,36,5.64,7.93
11,37,5.61,7.74
11,38,5.44,8.05
11,39,8.6,5.21
11,40,6.62,6.89
11,41,7.21,6.4
11,42,5.83,7.33
11,43,6.13,7.46
11,44,5.61,7.88
11,45,3.67,9.41
11,46,4.94,8.63
11,47,4.51,8.95
11,48,4.07,8.85
11,49,5.12,8.19
11,50,7.64,5.93
11,51,6.27,7.18
11,52,7.61,5.96
11,53,6.73,7.22
11,54,7.1,6.61
11,55,5.42,7.81
12,1,7.36,6.79
12,2,4.0,9.14
12,3,4.15,9.06
12,4,6.96,7.32
12,5,6.23,7.18
12,6,6.42,6.88
12,7,4.84,8.45
12,8,6.14,7.41
12,9,8.17,5.55
12,10,6.99,6.36
12,11,6.34,7.72
12,12,5.73,7.71
12,13,5.77,7.41
12,14,4.04,9.21
12,15,6.42,7.05
12,16,7.01,6.54
12,17,4.59,8.68
12,18,5.51,7.49
12,19,5.01,8.3
12,20,5.2,8.53
12,21,6.22,7.36
12,22,4.08,8.86
12,23,6.78,6.66
12,24,6.92,6.58
12,25,5.92,7.42
12,26,3.69,9.17
12,27,5.17,8.31
12,28,7.4,5.86
12,29,3.39,9.72
12,30,5.82,7.47
12,31,4.99,8.32
12,32,6.97,6.36
12,33,5.49,8.15
12,34,6.57,7.27
12,35,6.73,7.07
12,36,8.0,5.43
12,37,5.96,7.65
12,38,6.54,7.08
12,39,4.68,8.07
12,40,7.36,6.32
12,41,5.41,7.98
12,42,5.61,7.87
12,43,6.14,7.34
12,44,4.6,8.61
12,45,6.4,7.47
12,46,7.13,6.81
12,47,6.46,6.33
12,48,4.58,8.47
12,49,6.04,7.34
12,50,6.91,6.25
12,51,4.29,8.81
12,52,5.09,8.45
12,53,7.04,6.31
12,54,6.44,7.15
12,55,6.58,6.72
13,1,4.43,6.78
13,2,6.58,5.57
13,3,4.56,6.98
13,4,5.56,5.72
13,5,3.23,7.52
13,6,6.96,4.6
13,7,5.7,5.81
13,8,4.92,6.29
13,9,5.67,5.61
13,10,3.69,7.66
13,11,6.28,5.19
13,12,4.78,7.0
13,13,4.89,6.35
13,14,4.61,7.01
13,15,4.52,6.72
13,16,5.79,5.85
13,17,5.35,5.78
13,18,5.75,5.43
13,19,5.09,6.29
13,20,5.61,6.01
13,21,4.68,6.51
13,22,7.33,4.06
13,23,3.53,7.08
13,24,6.36,4.8
13,25,6.47,4.63
13,26,4.25,6.88
13,27,7.33,4.67
13,28,6.09,5.37
13,29,6.07,4.83
13,30,5.13,6.1
13,31,4.88,6.3
13,32,4.89,6.86
13,33,5.49,5.49
13,34,6.5,4.95
13,35,5.28,6.45
13,36,4.19,7.01
13,37,5.92,5.65
13,38,6.02,5.46
13,39,5.75,5.73
13,40,5.84,5.77
13,41,4.83,6.18
13,42,4.17,7.13
13,43,4.23,6.52
13,44,3.46,7.56
13,45,5.34,6.02
13,46,5.02,6.08
13,47,4.66,6.51
13,48,2.14,8.38
13,49,3.85,6.9
13,50,6.22,5.18
13,51,4.43,6.42
13,52,5.46,5.96
13,53,3.71,6.99
13,54,6.54,5.2
13,55,4.96,5.99
14,1,6.12,7.92
14,2,6.07,7.94
14,3,8.02,6.76
14,4,7.02,7.56
14,5,6.48,7.76
14,6,7.19,7.13
14,7,4.58,9.34
14,8,6.65,7.45
14,9,8.69,5.74
14,10,6.82,7.28
14,11,6.76,7.41
14,12,7.24,6.89
14,13,7.59,6.95
14,14,4.69,9.4
14,15,5.01,8.57
14,16,6.9,7.46
14,17,5.98,8.14
14,18,8.0,6.66
14,19,6.38,7.87
14,20,4.76,8.81
14,21,5.42,8.32
14,22,3.94,9.83
14,23,6.46,8.07
14,24,6.5,7.22
14,25,6.27,8.05
14,26,7.77,7.06
14,27,7.89,6.63
14,28,6.52,7.9
14,29,4.56,9.16
14,30,7.31,7.1
14,31,7.25,6.77
14,32,7.0,6.79
14,33,7.67,7.07
14,34,5.53,8.31
14,35,8.7,5.9
14,36,5.73,8.05
14,37,7.44,6.67
14,38,5.0,8.93
14,39,5.76,8.19
14,40,8.21,6.51
14,41,6.43,7.95
14,42,7.53,7.03
14,43,6.93,7.49
14,44,6.59,8.1
14,45,8.05,6.27
14,46,6.45,7.8
14,47,4.91,9.33
14,48,5.89,8.58
14,49,7.24,6.83
14,50,7.09,7.23
14,51,5.12,9.22
14,52,5.97,8.33
14,53,6.11,8.14
14,54,6.33,7.86
14,55,5.31,8.63
15,1,5.99,6.18
15,2,5.45,6.85
15,3,5.66,6.62
15,4,5.78,6.6
15,5,5.02,6.96
15,6,6.23,6.14
15,7,8.62,3.86
15,8,3.92,8.04
15,9,6.03,6.44
15,10,4.94,7.14
15,11,6.28,5.72
15,12,5.75,6.8
15,13,6.46,6.07
15,14,6.88,5.47
15,15,5.89,6.36
15,16,6.83,5.31
15,17,3.36,8.21
15,18,7.29,5.18
15,19,6.08,6.6
15,20,6.78,5.57
15,21,4.48,7.72
15,22,4.87,7.12
15,23,5.85,6.53
15,24,5.68,6.57
15,25,5.98,6.58
15,26,6.79,5.59
15,27,3.94,7.61
15,28,6.68,5.46
15,29,5.71,6.45
15,30,5.5,6.44
15,31,4.23,7.87
15,32,6.2,6.07
15,33,3.29,9.11
15,34,6.35,5.63
15,35,4.21,7.83
15,36,5.75,6.26
15,37,5.58,6.56
15,38,6.87,5.69
15,39,5.52,6.15
15,40,5.01,7.2
15,41,5.19,7.47
15,42,6.97,5.46
15,43,6.24,6.22
15,44,5.32,7.15
15,45,5.46,6.74
15,46,4.13,7.7
15,47,6.09,5.71
15,48,3.94,8.16
15,49,6.45,5.96
15,50,5.83,6.23
15,51,8.09,4.71
15,52,4.6,7.32
15,53,5.6,6.54
15,54,7.5,5.3
15,55,6.89,5.3
16,1,4.76,4.32
16,2,2.31,5.87
16,3,3.05,5.67
16,4,5.63,3.27
16,5,4.84,4.55
16,6,3.81,5.21
16,7,2.77,5.86
16,8,3.18,4.9
16,9,3.78,4.78
16,10,3.75,5.23
16,11,3.62,5.46
16,12,3.68,5.39
16,13,3.5,4.86
16,14,2.27,6.31
16,15,3.19,5.75
16,16,4.63,3.94
16,17,2.34,6.18
16,18,3.52,5.3
16,19,2.89,5.67
16,20,3.82,4.53
16,21,3.32,5.31
16,22,5.19,3.82
16,23,4.22,4.64
16,24,2.4,5.99
16,25,4.38,4.44
16,26,2.94,5.69
16,27,3.13,5.66
16,28,4.02,4.76
16,29,3.22,5.38
16,30,4.6,4.39
16,31,2.94,5.22
16,32,3.09,5.7
16,33,3.05,5.61
16,34,3.15,5.55
16,35,4.81,4.45
16,36,4.34,4.09
16,37,5.42,3.22
16,38,5.98,3.34
16,39,2.68,5.91
16,40,3.78,5.07
16,41,2.53,5.91
16,42,2.93,5.87
16,43,3.08,5.82
16,44,2.65,6.05
16,45,2.66,5.86
16,46,3.57,4.67
16,47,2.49,6.25
16,48,4.55,4.72
16,49,2.79,5.98
16,50,6.52,2.62
16,51,3.26,5.61
16,52,3.78,5.24
16,53,2.42,6.51
16,54,5.42,3.5
16,55,4.83,4.13
17,1,6.3,6.16
17,2,5.61,6.38
17,3,4.44,7.64
17,4,5.97,5.97
17,5,6.13,6.37
17,6,5.64,6.88
17,7,5.77,6.32
17,8,5.29,6.62
17,9,7.03,4.97
17,10,4.65,7.35
17,11,4.97,7.02
17,12,5.56,6.3
17,13,6.43,6.11
17,14,4.06,7.78
17,15,4.24,7.47
17,16,3.52,8.19
17,17,5.59,6.94
17,18,4.43,7.74
17,19,5.17,6.97
17,20,6.21,6.32
17,21,4.91,6.92
17,22,5.78,6.52
17,23,5.25,6.97
17,24,6.23,6.04
17,25,6.03,6.42
17,26,4.86,7.05
17,27,5.38,6.96
17,28,6.6,6.0
17,29,5.95,5.65
17,30,4.16,8.11
17,31,6.21,5.41
17,32,4.47,7.41
17,33,6.97,5.82
17,34,6.58,5.8
17,35,5.84,6.1
17,36,5.71,6.3
17,37,5.34,7.12
17,38,6.23,5.67
17,39,5.18,7.27
17,40,5.79,6.49
17,41,6.43,5.7
17,42,4.99,7.0
17,43,4.94,6.93
17,44,4.36,7.87
17,45,4.49,7.73
17,46,3.72,7.73
17,47,6.28,6.01
17,48,7.36,5.03
17,49,6.98,5.88
17,50,3.93,7.66
17,51,6.28,6.52
17,52,6.98,5.55
17,53,5.1,6.77
17,54,5.65,6.44
17,55,3.55,8.1
18,1,2.29,5.38
18,2,3.66,4.27
18,3,2.33,5.23
18,4,1.38,5.88
18,5,3.18,5.12
18,6,1.76,5.6
18,7,2.81,4.7
18,8,2.65,5.1
18,9,2.69,5.03
18,10,5.56,2.31
18,11,3.62,4.5
18,12,3.81,4.05
18,13,1.79,5.41
18,14,2.91,5.09
18,15,3.78,4.25
18,16,2.54,4.77
18,17,4.47,3.98
18,18,2.36,5.39
18,19,3.28,4.49
18,20,2.98,5.13
18,21,3.73,4.17
18,22,2.92,4.77
18,23,3.29,4.32
18,24,3.33,4.6
18,25,2.83,4.97
18,26,4.05,3.88
18,27,3.8,3.88
18,28,3.47,4.37
18,29,3.13,4.59
18,30,4.36,3.3
18,31,3.33,4.09
18,32,3.25,4.65
18,33,3.67,3.53
18,34,5.26,2.96
18,35,2.22,5.22
18,36,4.33,3.98
18,37,1.67,5.66
18,38,3.78,4.26
18,39,5.14,2.91
18,40,4.05,3.9
18,41,3.73,4.31
18,42,3.0,4.6
18,43,3.59,4.49
18,44,3.31,4.22
18,45,2.78,4.97
18,46,3.27,4.73
18,47,3.76,4.27
18,48,2.79,5.36
18,49,2.76,4.72
18,50,2.2,5.01
18,51,3.95,3.71
18,52,4.11,4.0
18,53,3.79,4.21
18,54,4.53,3.52
18,55,3.65,3.92
19,1,7.08,6.18
19,2,5.09,8.26
19,3,7.48,5.74
19,4,9.18,4.44
19,5,6.68,6.69
19,6,6.9,6.56
19,7,5.82,7.44
19,8,4.51,8.6
19,9,5.71,7.46
19,10,5.22,7.92
19,11,4.87,8.02
19,12,8.04,5.56
19,13,6.59,6.73
19,14,6.7,6.68
19,15,6.01,7.37
19,16,6.14,7.2
19,17,7.28,6.17
19,18,6.29,6.75
19,19,6.85,6.52
19,20,6.12,7.08
19,21,5.98,7.25
19,22,4.91,8.6
19,23,4.34,8.38
19,24,6.06,7.24
19,25,6.37,7.15
19,26,5.03,7.98
19,27,6.28,7.54
19,28,6.37,6.79
19,29,4.16,8.73
19,30,5.4,7.46
19,31,6.72,6.51
19,32,6.7,6.68
19,33,5.16,8.06
19,34,6.48,6.88
19,35,7.34,6.42
19,36,7.09,6.28
19,37,6.22,6.92
19,38,5.85,7.98
19,39,5.69,7.53
19,40,6.79,6.37
19,41,6.51,6.6
19,42,6.95,6.19
19,43,6.45,7.05
19,44,7.14,6.18
19,45,6.41,6.88
19,46,7.1,6.28
19,47,7.19,6.41
19,48,5.51,7.36
19,49,4.51,8.1
19,50,7.86,5.75
19,51,6.57,6.87
19,52,4.6,8.38
19,53,5.6,7.29
19,54,7.09,6.48
19,55,6.04,6.96
20,1,4.4,6.17
20,2,3.98,6.51
20,3,6.23,4.69
20,4,5.56,5.08
20,5,5.53,4.9
20,6,6.17,4.78
20,7,7.74,3.31
20,8,3.22,7.14
20,9,4.19,6.14
20,10,4.31,5.97
20,11,4.07,6.49
20,12,3.85,6.65
20,13,4.63,6.14
20,14,3.71,7.27
20,15,5.26,5.55
20,16,4.98,5.83
20,17,5.41,5.1
20,18,5.43,5.02
20,19,5.53,5.67
20,20,4.55,5.82
20,21,7.05,3.79
20,22,5.16,5.55
20,23,3.06,7.22
20,24,3.92,6.33
20,25,3.18,7.07
20,26,4.94,6.05
20,27,4.8,5.65
20,28,4.46,5.78
20,29,6.94,4.38
20,30,5.47,5.44
20,31,5.65,5.02
20,32,3.99,6.1
20,33,3.93,6.37
20,34,4.96,5.71
20,35,5.1,5.9
20,36,3.07,6.98
20,37,4.74,5.88
20,38,4.94,5.91
20,39,4.71,5.33
20,40,4.11,6.66
20,41,4.39,5.89
20,42,4.75,5.98
20,43,5.02,5.74
20,44,5.53,5.54
20,45,6.01,5.02
20,46,4.63,5.39
20,47,4.47,5.92
20,48,5.36,5.44
20,49,5.54,5.21
20,50,4.49,6.22
20,51,5.72,5.32
20,52,5.9,5.12
20,53,6.22,4.67
20,54,6.7,3.87
20,55,4.06,6.33
21,1,5.14,5.32
21,2,3.63,5.84
21,3,5.35,5.39
21,4,5.63,4.84
21,5,4.85,5.67
21,6,1.66,7.75
21,7,3.44,6.16
21,8,6.61,4.08
21,9,4.18,5.95
21,10,2.74,6.99
21,11,5.96,4.56
21,12,4.74,6.2
21,13,5.83,4.85
21,14,5.0,5.56
21,15,5.18,5.37
21,16,5.09,5.6
21,17,5.42,4.92
21,18,7.0,3.19
21,19,5.69,4.7
21,20,3.14,6.99
21,21,5.17,4.92
21,22,5.86,4.57
21,23,5.93,4.39
21,24,4.3,6.24
21,25,5.89,4.78
21,26,5.65,4.94
21,27,7.3,3.62
21,28,3.97,6.11
21,29,4.22,5.98
21,30,4.42,5.47
21,31,4.23,5.37
21,32,3.83,6.27
21,33,1.96,7.81
21,34,4.29,6.17
21,35,5.09,5.62
21,36,4.23,6.31
21,37,6.66,3.72
21,38,4.74,5.42
21,39,6.01,4.61
21,40,4.98,5.95
21,41,5.55,5.23
21,42,5.0,5.58
21,43,6.09,4.33
21,44,4.78,5.26
21,45,5.22,5.32
21,46,5.09,4.95
21,47,4.43,5.69
21,48,5.13,5.17
21,49,6.96,4.13
21,50,4.45,5.65
21,51,5.14,4.58
21,52,5.98,4.64
21,53,5.86,4.44
21,54,4.73,5.52
21,55,2.34,7.41
22,1,3.7,5.05
22,2,4.77,4.19
22,3,2.45,6.37
22,4,3.46,5.74
22,5,4.66,4.49
22,6,3.36,5.58
22,7,2.37,6.5
22,8,4.65,4.3
22,9,5.1,4.36
22,10,3.93,5.31
